DATE,DEXJPUS,DEXUSUK
2019-12-12,109.16,1.3133
2019-12-13,109.28,1.3349
2019-12-16,109.64,1.333
2019-12-17,109.52,1.3116
2019-12-18,109.58,1.3078
2019-12-19,109.23,1.3034
2019-12-20,109.45,1.3036
2019-12-23,109.39,1.2917
2019-12-24,109.38,1.2955
2019-12-25,,
2019-12-26,109.67,1.3007
2019-12-27,109.47,1.309
2019-12-30,108.85,1.314
2019-12-31,108.67,1.3269
2020-01-01,,
2020-01-02,108.43,1.3128
2020-01-03,107.94,1.3091
2020-01-06,108.36,1.3163
2020-01-07,108.53,1.3127
2020-01-08,109.03,1.311
2020-01-09,109.47,1.3069
2020-01-10,109.5,1.306
2020-01-13,109.93,1.2983
2020-01-14,110.05,1.3018
2020-01-15,109.94,1.303
2020-01-16,110.16,1.3076
2020-01-17,110.16,1.3029
2020-01-20,,
2020-01-21,109.95,1.3047
2020-01-22,109.93,1.3136
2020-01-23,109.39,1.3104
2020-01-24,109.31,1.3071
2020-01-27,108.95,1.3054
2020-01-28,109.17,1.2996
2020-01-29,109.15,1.3012
2020-01-30,108.75,1.3106
2020-01-31,108.5,1.3195
2020-02-03,108.59,1.3006
2020-02-04,109.41,1.3029
2020-02-05,109.74,1.3
2020-02-06,109.89,1.2935
2020-02-07,109.81,1.2908
2020-02-10,109.77,1.2919
2020-02-11,109.78,1.2945
2020-02-12,110.0,1.2978
2020-02-13,109.81,1.3051
2020-02-14,109.77,1.3039
2020-02-17,,
2020-02-18,109.8,1.3017
2020-02-19,111.17,1.2934
2020-02-20,111.86,1.2877
2020-02-21,111.74,1.2966
2020-02-24,110.56,1.2923
2020-02-25,110.23,1.3004
2020-02-26,110.36,1.2921
2020-02-27,110.15,1.2876
2020-02-28,108.12,1.2778
2020-03-02,108.02,1.2791
2020-03-03,107.28,1.2827
2020-03-04,107.34,1.2836
2020-03-05,106.56,1.2939
2020-03-06,105.31,1.301
2020-03-09,102.52,1.31
2020-03-10,103.71,1.2933
2020-03-11,104.81,1.2887
2020-03-12,105.67,1.2541
2020-03-13,107.15,1.2406
2020-03-16,105.64,1.2278
2020-03-17,107.41,1.2017
2020-03-18,108.45,1.176
2020-03-19,110.08,1.1662
2020-03-20,111.3,1.1743
2020-03-23,111.36,1.1492
2020-03-24,111.44,1.1784
2020-03-25,111.43,1.1763
2020-03-26,109.45,1.214
2020-03-27,108.16,1.236
2020-03-30,108.06,1.2392
2020-03-31,107.53,1.2454
2020-04-01,107.05,1.2394
2020-04-02,107.85,1.238
2020-04-03,108.53,1.2228
2020-04-06,109.11,1.2298
2020-04-07,108.97,1.2343
2020-04-08,108.7,1.2394
2020-04-09,108.38,1.2458
2020-04-10,108.39,1.2485
2020-04-13,107.59,1.2518
2020-04-14,107.08,1.2617
2020-04-15,107.42,1.2523
2020-04-16,107.72,1.2433
2020-04-17,107.52,1.2503
2020-04-20,107.69,1.2467
2020-04-21,107.69,1.2266
2020-04-22,107.81,1.2332
2020-04-23,107.65,1.2369
2020-04-24,107.44,1.2335
2020-04-27,107.22,1.2421
2020-04-28,106.83,1.2438
2020-04-29,106.67,1.2429
2020-04-30,106.94,1.2602
2020-05-01,106.76,1.2509
2020-05-04,106.82,1.243
2020-05-05,106.52,1.2449
2020-05-06,106.07,1.2347
2020-05-07,106.36,1.2349
2020-05-08,106.5,1.2436
2020-05-11,107.7,1.233
2020-05-12,107.33,1.2299
2020-05-13,106.92,1.2225
2020-05-14,107.09,1.2194
2020-05-15,107.27,1.2129
2020-05-18,107.25,1.2211
2020-05-19,107.89,1.2255
2020-05-20,107.46,1.2257
2020-05-21,107.69,1.2227
2020-05-22,107.5,1.2178
2020-05-25,,
2020-05-26,107.64,1.2337
2020-05-27,107.79,1.2231
2020-05-28,107.67,1.2325
2020-05-29,107.77,1.232
2020-06-01,107.56,1.2472
2020-06-02,108.6,1.2531
2020-06-03,108.88,1.26
2020-06-04,109.0,1.2608
2020-06-05,109.68,1.2703
2020-06-08,108.46,1.2694
2020-06-09,107.66,1.2736
2020-06-10,107.25,1.2758
2020-06-11,106.67,1.2635
2020-06-12,107.36,1.2527
2020-06-15,107.33,1.2543
2020-06-16,107.35,1.2586
2020-06-17,107.26,1.2526
2020-06-18,106.78,1.243
2020-06-19,106.89,1.2362
2020-06-22,106.84,1.2447
2020-06-23,106.44,1.2531
